;title_uk;brand_uk;model_uk;price_uk (gbp);year_uk;kilometrage_uk;fuelType_uk;bodyType_uk;gearBox_uk;link_uk;brand_fr;model_fr;price_fr (eur);year_fr;kilometrage_fr;fuelType_fr;gearBox_fr;link_fr
55;Citroen C3 Left Hand Drive, Currently on French Plates LEFT HAND …;Citroen;C3 Left;5990.0;2014;96560.4;;Hatchback;Petrol;https://www.autotrader.co.uk/classified/advert/201909252606871;Porsche;Panamera;38900.0;2014;77000;DIESEL;AUTOMATIQUE;http://www.leparking.fr//voiture-occasion-detail/porsche-panamera/v6-3.0-250-diesel/OKP2PITS.html
56;Citroen C3 Left Hand Drive, Currently on French Plates LEFT HAND …;Citroen;C3 Left;5990.0;2014;96560.4;;Hatchback;Petrol;https://www.autotrader.co.uk/classified/advert/201909252606871;Porsche;Panamera;52690.0;2014;65000;DIESEL;AUTOMATIQUE;http://www.leparking.fr//voiture-occasion-detail/porsche-panamera/porsche-panamera-3.0-td-300-edition/LD1FJI88.html
57;Citroen C3 Left Hand Drive, Currently on French Plates LEFT HAND …;Citroen;C3 Left;5990.0;2014;96560.4;;Hatchback;Petrol;https://www.autotrader.co.uk/classified/advert/201909252606871;Porsche;Panamera;72998.0;2014;58000;HYBRIDE;AUTOMATIQUE;http://www.leparking.fr//voiture-occasion-detail/porsche-panamera-s/panamera-s-e-hybrid-eh.-dienstwagen-eines-prominenten-kunstler/8UUIM294.html
58;Hummer H2 6.2 V8 Luxury 5dr;Hummer;H2 6.2;17000.0;2006;94774.0326;;SUV;Petrol;https://www.autotrader.co.uk/classified/advert/201909132180743;Hummer;H2;24500.0;2007;126000;ESSENCE;AUTOMATIQUE;http://www.leparking.fr//voiture-occasion-detail/hummer-h2/hummer/6F300WXC.html
59;Hummer H2 6.2 V8 Luxury 5dr;Hummer;H2 6.2;17000.0;2006;94774.0326;;SUV;Petrol;https://www.autotrader.co.uk/classified/advert/201909132180743;Hummer;H2;63900.0;2008;55000;-;AUTOMATIQUE;http://www.leparking.fr//voiture-occasion-detail/hummer-h2/hummer-h2-2008-55mkm-flexfuel-dernier-modele-7-pla/LDX3CAV8.html
60;Hummer H2 6.2 V8 Luxury 5dr;Hummer;H2 6.2;17000.0;2006;94774.0326;;SUV;Petrol;https://www.autotrader.co.uk/classified/advert/201909132180743;Hummer;H2;46500.0;2008;70000;ETHANOL;AUTOMATIQUE;http://www.leparking.fr//voiture-occasion-detail/hummer-h2/6.2-v8-398-flexpower-luxury-bva/BEHQ98PP.html
61;Hummer H2 6.2 V8 Luxury 5dr;Hummer;H2 6.2;17000.0;2006;94774.0326;;SUV;Petrol;https://www.autotrader.co.uk/classified/advert/201909132180743;Hummer;H2;46500.0;2008;70000;ETHANOL;AUTOMATIQUE;http://www.leparking.fr//voiture-occasion-detail/hummer-h2/6.2-v8-398-flexpower-luxury-bva/BEHQ98PP.html
62;Hummer H2 6.2 V8 Luxury 5dr;Hummer;H2 6.2;17000.0;2006;94774.0326;;SUV;Petrol;https://www.autotrader.co.uk/classified/advert/201909132180743;Hummer;H2;48000.0;2005;113000;ESSENCE;AUTOMATIQUE;http://www.leparking.fr//voiture-occasion-detail/hummer-h2/hummer-h2-v8-6-2l/CCXXJLBL.html
63;Hummer H2 6.2 V8 Luxury 5dr;Hummer;H2 6.2;17000.0;2006;94774.0326;;SUV;Petrol;https://www.autotrader.co.uk/classified/advert/201909132180743;Porsche;Panamera;42900.0;2011;60500;DIESEL;AUTOMATIQUE;http://www.leparking.fr//voiture-occasion-detail/porsche-panamera/porsche-panamera-v6-3.0-250-diesel/YDU4TJ7S.html
64;Hummer H2 6.2 V8 Luxury 5dr;Hummer;H2 6.2;17000.0;2006;94774.0326;;SUV;Petrol;https://www.autotrader.co.uk/classified/advert/201909132180743;Porsche;Panamera;42490.0;2013;104242;HYBRIDE;AUTOMATIQUE;http://www.leparking.fr//voiture-occasion-detail/porsche-panamera/3.0-v6-416-e-hybrid-tiptronic8-s-2013-104-242-km-hybride-boite-automatique/5VBXHJB4.html
